storename,storecontract,storeid,storeaddress,storecity,storestate,storezip,storephone,storecountry,latlonlocation,latlonlocationdv
Advance Auto Parts,CarQuest,100001,10218 SOUTHARD DRIVE,BELTSVILLE,MD,20705,,USA,"39.0315695,-76.9098349","39.0315695,-76.9098349"
4 KORNERS AUTO PARTS,CarQuest,100002,390 SS CAPTAIN GLOSTER,GLOSTER,MS,39638,6012259915,USA,"31.2006627,-91.0074025","31.2006627,-91.0074025"
"9TH STREET PARTS, LLC",CarQuest,100003,510 WEST NINTH STREET,MT. CARMEL,IL,62863,6184502999,USA,"38.4134352,-87.770957","38.4134352,-87.770957"
A & D AUTO PARTS,CarQuest,100004,810 WEST MAIN STREET,FAIRFIELD,IL,62837,6188427588,USA,"38.3795142,-88.3710266","38.3795142,-88.3710266"
A & J AUTO PARTS,CarQuest,100005,176 WEST ST,RUTLAND,VT,05701,8027755584,USA,"43.6074772,-72.9822844","43.6074772,-72.9822844"
A & S AUTO PARTS INC,CarQuest,100006,P.O. BOX B,ELKHORN CITY,KY,41522,6067544095,USA,"37.3030859,-82.3516902","37.3030859,-82.3516902"
A AND A HARDWARE AND AUTO SUPPLY,CarQuest,100007,15021 HWY M-28     PO BOX 49,BRUCE CROSSING,MI,49912,9068273944,USA,"46.534023,-89.1784237","46.534023,-89.1784237"
A AND B MECHANICAL,CarQuest,100008,400 PLYMOUTH STREET,WASHINGTON,NC,27889,2529751331,USA,"35.5556858,-77.0692631","35.5556858,-77.0692631"
A M AUTO PARTS,CarQuest,100009,44 MAIN STREET,SOURIS,PE,C0A 2B0,9026872844,CAN,"46.3558199,-62.2592556","46.3558199,-62.2592556"
A1 AUTO PARTS,CarQuest,100010,10859 HEBRON RD,BUCKEYE LAKE,OH,43008,7409280333,USA,"39.9396927,-82.4792101","39.9396927,-82.4792101"
A1 AUTO PARTS AND MACHINE,CarQuest,100011,3459 HWY 55 E,FALKVILLE,AL,35622,2567961103,USA,"34.3684295,-86.908616","34.3684295,-86.908616"
AAA TRUCK AND AUTO PARTS,CarQuest,100012,385 SPRINGLAKE HWY P O BOX1069,LITTLEFIELD,TX,79339,8063854720,USA,"33.9302039,-102.3273119","33.9302039,-102.3273119"
Advance Auto Parts,CarQuest,100013,3010 ANDERSON AVENUE,MANHATTAN,KS,66503,7855397419,USA,"39.1900047,-96.6137642","39.1900047,-96.6137642"
Advance Auto Parts,CarQuest,100014,5815 WEST 63RD STREET,CHICAGO,IL,60638,7735853500,USA,"41.7776563,-87.7673391","41.7776563,-87.7673391"
Advance Auto Parts,CarQuest,100015,221 SUMMERS DRIVE,ABBEVILLE,LA,70510,3378930150,USA,"29.983474,-92.133833","29.983474,-92.133833"
Advance Auto Parts,CarQuest,100016,204 N 4TH ST,ABBOTSFORD,WI,54405,7152234231,USA,"44.9482815,-90.3161388","44.9482815,-90.3161388"
Advance Auto Parts,CarQuest,100017,612 6TH AVENUE SW,ABERDEEN,SD,57401,6052250820,USA,"45.4599827,-98.497443","45.4599827,-98.497443"
Advance Auto Parts,CarQuest,100018,3501 LANCASTER-HUTCHINS ROAD,HUTCHUNS,TX,75141,9722844694,USA,"32.6232297,-96.7363077","32.6232297,-96.7363077"
Advance Auto Parts,CarQuest,100019,5690 WEST ALAMEDA,LAKEWOOD,CO,80226,3039367471,USA,"39.7104188,-105.0588009","39.7104188,-105.0588009"
Advance Auto Parts,CarQuest,100020,2605 NORTH WHITE SANDS BLVD,ALAMOGORDO,NM,88310,5754341003,USA,"32.9221114,-105.961083","32.9221114,-105.961083"
Advance Auto Parts,CarQuest,100021,2110 SANTIAM HWY SE,ALBANY,OR,97321,5419266051,USA,"44.6327111,-123.0798671","44.6327111,-123.0798671"
Advance Auto Parts,CarQuest,100022,297 WEST MAIN STREET,AMERICAN FORK,UT,84003,8017639640,USA,"40.376411,-111.8063212","40.376411,-111.8063212"
Advance Auto Parts,CarQuest,100023,105 GREENBRIER DEAR RD,ANNISTON,AL,36201,2562367864,USA,"33.6374566,-85.8262245","33.6374566,-85.8262245"
Advance Auto Parts,CarQuest,100024,315 STATE HWY 64,ANTIGO,WI,54409,7156234108,USA,"45.1616775,-89.1438809","45.1616775,-89.1438809"
Advance Auto Parts,CarQuest,100025,2391 HVILLE HIGHWAY,ARDEN,NC,28704,8286845531,USA,"35.4661613,-82.5166982","35.4661613,-82.5166982"
Advance Auto Parts,CarQuest,100026,1541 PATTON AVENUE,ASHEVILLE,NC,28806,8282535335,USA,"35.5758661,-82.6129295","35.5758661,-82.6129295"
Advance Auto Parts,CarQuest,100027,446 OPELIKA RD,AUBURN,AL,36830,3348217783,USA,"32.6129547,-85.4734507","32.6129547,-85.4734507"
Advance Auto Parts,CarQuest,100028,4515 FREDRICKSBURG RD. SUITE 3,BALCONES HEIGHTS,TX,78201,2103415541,USA,"29.4897596,-98.5517232","29.4897596,-98.5517232"
